iter	MultiClass
0	0.692592623
1	0.6866661044
2	0.6778996321
3	0.6775205605
4	0.6735402673
5	0.670073232
6	0.6667058693
7	0.6647541632
8	0.6598814816
9	0.6561509469
10	0.6540443073
11	0.6517857448
12	0.6500873961
13	0.6495099299
14	0.6475014605
15	0.6449724418
16	0.6414873673
17	0.6396378431
18	0.6355159603
19	0.6332169306
20	0.6326152513
21	0.6313683234
22	0.627432966
23	0.6242109315
24	0.6226328266
25	0.6220275295
26	0.6142260063
27	0.6138106965
28	0.6084046316
29	0.6080581652
30	0.6071169921
31	0.6066034402
32	0.6049349253
33	0.6032494137
34	0.602406155
35	0.5990498963
36	0.5978810327
37	0.5967643814
38	0.595300957
39	0.5943262154
40	0.5932615411
41	0.5920557982
42	0.5911694269
43	0.589593708
44	0.5879918596
45	0.5870360654
46	0.5864890901
47	0.5858170418
48	0.5849262041
49	0.583851639
50	0.5816153057
51	0.5805772384
52	0.5793555898
53	0.5744013806
54	0.5727544066
55	0.5707231542
56	0.5683795926
57	0.5662199674
58	0.5644180149
59	0.5610277891
60	0.5544588248
61	0.5526432743
62	0.5510057238
63	0.5496553194
64	0.5454201476
65	0.5419074284
66	0.5403302689
67	0.538874192
68	0.537327772
69	0.5356537879
70	0.5344083947
71	0.5329008016
72	0.5302427762
73	0.5282592875
74	0.5254544491
75	0.522891179
76	0.520674453
77	0.5185438639
78	0.51825454
79	0.5170990081
80	0.5140107015
81	0.5129499993
82	0.5119994303
83	0.5109805586
84	0.5086989765
85	0.5052717308
86	0.5037728402
87	0.5018758397
88	0.5008208554
89	0.4996151852
90	0.4981101232
91	0.4964099254
92	0.4938327101
93	0.4909010965
94	0.4893898006
95	0.4862350838
96	0.4850860429
97	0.4821528625
98	0.479614512
99	0.4790555196
