iter	Passed	Remaining
0	46	4572
1	46	2268
2	46	1499
3	46	1115
4	46	884
5	46	730
6	46	620
7	46	538
8	46	474
9	46	422
10	47	380
11	47	345
12	47	316
13	47	290
14	47	268
15	47	249
16	47	232
17	47	217
18	47	203
19	47	191
20	47	180
21	48	170
22	48	161
23	50	160
24	50	152
25	50	144
26	51	137
27	51	131
28	51	125
29	51	119
30	51	114
31	53	114
32	53	109
33	54	104
34	54	100
35	54	96
36	54	92
37	54	88
38	54	85
39	54	81
40	54	78
41	57	79
42	57	76
43	57	73
44	65	79
45	65	76
46	65	73
47	67	72
48	67	70
49	67	67
50	67	64
51	68	62
52	68	60
53	68	58
54	68	55
55	68	53
56	68	51
57	68	49
58	68	47
59	68	45
60	68	44
61	72	44
62	72	42
63	80	45
64	80	43
65	80	41
66	80	39
67	81	38
68	81	36
69	81	34
70	81	33
71	81	31
72	81	30
73	81	28
74	81	27
75	81	25
76	81	24
77	81	23
78	82	21
79	82	20
80	82	19
81	82	18
82	82	16
83	82	15
84	82	14
85	82	13
86	82	12
87	82	11
88	82	10
89	94	10
90	94	9
91	95	8
92	95	7
93	96	6
94	96	5
95	96	4
96	96	2
97	96	1
98	96	0
99	96	0
