iter	RMSE
0	110895.7529
1	106886.1046
2	103095.7444
3	99937.49153
4	96877.32831
5	94073.49848
6	91628.72715
7	89305.98373
8	87308.99023
9	85252.99983
10	83532.44623
11	81926.81788
12	80449.66662
13	78942.37687
14	77657.8273
15	76625.86148
16	75651.22263
17	74615.6363
18	73639.15794
19	72907.28905
20	72140.93267
21	71455.99601
22	70768.21151
23	70143.06693
24	69560.99316
25	69110.05272
26	68704.59922
27	68356.20972
28	68037.13786
29	67685.10337
30	67341.73322
31	66980.48854
32	66623.98219
33	66214.45608
34	65892.81612
35	65639.6034
36	65286.99001
37	65062.24484
38	64758.37573
39	64563.5427
40	64357.24361
41	64063.15738
42	63826.99196
43	63611.32233
44	63378.91083
45	63219.07898
46	63098.82988
47	62836.06959
48	62614.01331
49	62319.37824
50	62174.09089
51	62002.67403
52	61858.5464
53	61772.57585
54	61401.1698
55	61225.34185
56	60968.7911
57	60673.24972
58	60425.76292
59	60300.20711
60	60047.00071
61	59870.17948
62	59779.57124
63	59559.00777
64	59383.59632
65	59179.451
66	59060.93593
67	58965.8054
68	58739.93551
69	58564.02039
70	58385.16672
71	58235.75224
72	58065.41029
73	57972.06229
74	57832.29937
75	57636.24887
76	57549.20865
77	57467.86576
78	57356.86451
79	57226.34563
80	57150.06032
81	56953.38071
82	56899.7964
83	56712.93198
84	56645.62589
85	56547.06939
86	56447.74187
87	56389.76726
88	56283.32877
89	56206.65217
90	56111.47856
91	56058.06025
92	56008.4383
93	55863.33072
94	55774.00489
95	55645.6489
96	55534.12496
97	55474.91178
98	55423.58188
99	55367.71491
100	55322.6658
101	55255.97713
102	55197.4864
103	55149.04506
104	55066.78139
105	55003.5316
106	54914.77797
107	54857.10152
108	54729.16741
109	54690.86202
110	54609.59619
111	54518.092
112	54390.34811
113	54325.69598
114	54270.58846
115	54207.61305
116	54141.52237
117	54064.56772
118	54007.8609
119	53947.88638
120	53893.93778
121	53827.54708
122	53756.19403
123	53700.19528
124	53622.45219
125	53551.0411
126	53512.1117
127	53447.71732
128	53402.48843
129	53356.50556
130	53299.0017
131	53232.75379
132	53182.56617
133	53125.25562
134	53089.76261
135	53032.65944
136	53000.82386
137	52962.66428
138	52867.78883
139	52831.06024
140	52791.86691
141	52739.00095
142	52674.25082
143	52636.67078
144	52622.71751
145	52584.59305
146	52526.69491
147	52479.32524
148	52451.26175
149	52428.29275
150	52393.6593
151	52308.91862
152	52287.22753
153	52249.61937
154	52168.13841
155	52096.57424
156	52052.76998
157	51983.00208
158	51934.50311
159	51901.92315
160	51835.22994
161	51794.76221
162	51739.63334
163	51692.55981
164	51669.95487
165	51633.60985
166	51592.36941
167	51553.53826
168	51514.04187
169	51452.11146
170	51398.12712
171	51354.68283
172	51326.78559
173	51286.67822
174	51238.92345
175	51198.02444
176	51161.80063
177	51121.01138
178	51093.65886
179	51054.80718
180	51027.26599
181	50999.98121
182	50951.18245
183	50931.20907
184	50893.52006
185	50866.1674
186	50841.63445
187	50797.27644
188	50776.98717
189	50730.7513
190	50698.54954
191	50678.94107
192	50650.82678
193	50614.31911
194	50570.79718
195	50511.76522
196	50463.84797
197	50429.92237
198	50401.46387
199	50370.01125
200	50328.77347
201	50300.84478
202	50261.50485
203	50242.10346
204	50210.00427
205	50181.37183
206	50143.3131
207	50117.89659
208	50094.06504
209	50047.9049
210	50030.59867
211	49998.74043
212	49983.08351
213	49948.35427
214	49916.18324
215	49879.60694
216	49856.02101
217	49821.59962
218	49800.99935
219	49769.17594
220	49715.01134
221	49695.20193
222	49649.43439
223	49628.91158
224	49611.13566
225	49580.63454
226	49548.37458
227	49511.15539
228	49464.72187
229	49427.98045
230	49400.22639
231	49373.42758
232	49346.80122
233	49320.59703
234	49287.79256
235	49258.28069
236	49214.49312
237	49190.28902
238	49161.96598
239	49131.06306
240	49111.67995
241	49083.11438
242	49050.61548
243	49014.48836
244	48987.61778
245	48966.83894
246	48948.08762
247	48917.27851
248	48894.7542
249	48883.64541
250	48847.21549
251	48820.46062
252	48790.6584
253	48762.95542
254	48745.79607
255	48721.95027
256	48697.46693
257	48677.48798
258	48662.18312
259	48645.92181
260	48628.82913
261	48602.43478
262	48587.25259
263	48573.70369
264	48557.7465
265	48529.328
266	48497.14799
267	48470.75428
268	48450.98425
269	48425.35985
270	48400.43285
271	48378.77619
272	48366.54261
273	48347.17189
274	48324.19612
275	48295.7882
276	48271.0089
277	48248.90366
278	48227.04323
279	48198.60832
280	48182.29806
281	48162.57795
282	48141.45744
283	48115.2739
284	48091.61752
285	48070.4978
286	48048.54921
287	48020.51483
288	47987.34372
289	47976.40017
290	47949.45319
291	47930.54905
292	47915.14963
293	47905.66925
294	47890.03485
295	47874.97133
296	47850.14838
297	47832.63963
298	47817.04673
299	47800.03717
300	47787.88261
301	47768.69534
302	47744.91208
303	47722.2831
304	47704.23811
305	47679.66036
306	47665.59551
307	47651.97126
308	47636.54395
309	47611.88164
310	47590.18104
311	47567.50788
312	47550.5949
313	47538.94037
314	47515.7204
315	47507.1149
316	47483.61062
317	47461.21628
318	47437.88483
319	47424.41913
320	47402.78627
321	47383.20003
322	47361.87157
323	47349.31006
324	47324.90591
325	47303.95904
326	47293.96866
327	47283.76075
328	47273.0924
329	47260.87307
330	47237.11941
331	47224.79586
332	47206.32617
333	47187.21005
334	47170.08127
335	47158.50603
336	47142.42051
337	47129.88862
338	47112.64629
339	47097.77087
340	47078.13915
341	47064.92661
342	47040.87338
343	47022.28159
344	47004.9462
345	46989.86154
346	46974.30759
347	46958.9588
348	46949.14115
349	46924.1701
350	46913.46214
351	46893.98353
352	46873.54885
353	46848.15616
354	46833.68924
355	46816.64848
356	46800.70444
357	46788.7201
358	46775.54938
359	46760.31075
