iter	Passed	Remaining
0	5	5214
1	9	4673
2	13	4592
3	17	4250
4	21	4336
5	26	4465
6	31	4529
7	35	4442
8	39	4386
9	43	4332
10	48	4384
11	54	4480
12	59	4487
13	63	4476
14	67	4441
15	71	4399
16	75	4394
17	79	4349
18	83	4308
19	87	4266
20	91	4246
21	95	4231
22	99	4214
23	103	4198
24	107	4188
25	112	4202
26	116	4189
27	120	4181
28	124	4183
29	129	4194
30	134	4192
31	138	4195
32	143	4193
33	147	4196
34	152	4195
35	156	4197
36	161	4208
37	165	4193
38	170	4200
39	175	4201
40	179	4193
41	185	4224
42	191	4255
43	195	4248
44	200	4252
45	204	4238
46	208	4224
47	212	4223
48	216	4211
49	220	4195
50	225	4194
51	230	4195
52	234	4184
53	238	4173
54	242	4161
55	247	4177
56	250	4151
57	254	4140
58	259	4130
59	263	4126
60	267	4111
61	271	4103
62	275	4098
63	279	4084
64	283	4074
65	287	4062
66	291	4059
67	296	4058
68	299	4038
69	303	4031
70	308	4030
71	312	4022
72	316	4020
73	320	4014
74	325	4013
75	329	4008
76	334	4005
77	339	4013
78	343	4007
79	347	3998
80	352	4002
81	356	3993
82	360	3982
83	364	3977
84	368	3971
85	376	4005
86	382	4009
87	386	4008
88	390	3998
89	394	3992
90	399	3992
91	404	3989
92	408	3982
93	412	3974
94	415	3960
95	420	3955
96	424	3949
97	429	3950
98	433	3944
99	438	3949
100	443	3944
101	448	3949
102	453	3950
103	457	3945
104	462	3938
105	467	3946
106	476	3975
107	480	3971
108	485	3965
109	489	3957
110	493	3951
111	497	3948
112	502	3946
113	507	3947
114	512	3944
115	516	3935
116	521	3933
117	525	3925
118	528	3915
119	534	3916
120	538	3909
121	542	3903
122	546	3897
123	550	3889
124	555	3888
125	561	3892
126	565	3886
127	569	3883
128	574	3878
129	579	3874
130	583	3868
131	587	3863
132	591	3856
133	595	3850
134	600	3845
135	604	3838
136	608	3830
137	611	3822
138	615	3815
139	620	3809
140	624	3806
141	628	3798
142	632	3792
143	636	3784
144	640	3777
145	644	3770
146	648	3763
147	652	3757
148	656	3748
149	660	3743
150	664	3737
151	669	3737
152	673	3728
153	677	3723
154	682	3720
155	687	3717
156	691	3713
157	697	3716
158	701	3712
159	705	3705
160	710	3701
161	714	3695
162	718	3689
163	722	3684
164	726	3678
165	730	3671
166	734	3663
167	739	3661
168	744	3663
169	749	3658
170	754	3657
171	758	3650
172	762	3644
173	766	3638
174	770	3632
175	774	3625
176	779	3622
177	783	3616
178	786	3609
179	791	3603
180	794	3595
181	798	3587
182	803	3586
183	807	3582
184	811	3576
185	816	3573
186	820	3566
187	824	3561
188	828	3555
189	832	3549
190	836	3543
191	840	3537
192	845	3535
193	850	3531
194	854	3527
195	858	3521
196	862	3517
197	866	3510
198	871	3506
199	875	3501
200	879	3496
201	884	3493
202	889	3492
203	893	3486
204	897	3480
205	901	3474
206	907	3476
207	911	3470
208	915	3465
209	919	3459
210	923	3454
211	927	3449
212	933	3449
213	937	3443
214	941	3438
215	945	3432
216	950	3428
217	954	3423
218	958	3417
219	962	3411
220	966	3406
221	969	3398
222	973	3392
223	977	3385
224	980	3378
225	984	3372
226	988	3367
227	992	3362
228	997	3357
229	1002	3356
230	1007	3352
231	1010	3345
232	1014	3341
233	1019	3335
234	1023	3330
235	1027	3326
236	1031	3321
237	1035	3316
238	1039	3311
239	1043	3305
240	1047	3299
241	1051	3294
242	1056	3290
